id,p_id,p_category,p_title,p_img_small,p_img_medium,p_img_large,p_retail_price,retail_currency,p_productBrand,p_product_url,p_instalk,p_cod
57,LANEFKZVAMNGE6GF,landline_phones,Panasonic TG 3711 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/6/g/f/panasonic-tg-3711-original-imaefkzscdjrzt7e.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/6/g/f/panasonic-tg-3711-original-imaefkzscdjrzt7e.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/6/g/f/panasonic-tg-3711-original-imaefkzscdjrzt7e.jpeg?q=90,2850,0,Panasonic,https://www.flipkart.com/panasonic-tg-3711-cordless-landline-phone/p/itmefkzv67um2gvd?pid=LANEFKZVAMNGE6GF&affid=anoopcomp,1,1
58,LANEHYBKSDZH3U7F,landline_phones,Panasonic PA-KX-TG7861 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/u/7/f/panasonic-pa-kx-tg7861-original-imaehy9gvhfwnjqx.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/u/7/f/panasonic-pa-kx-tg7861-original-imaehy9gvhfwnjqx.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/u/7/f/panasonic-pa-kx-tg7861-original-imaehy9gvhfwnjqx.jpeg?q=90,4600,0,Panasonic,https://www.flipkart.com/panasonic-pa-kx-tg7861-cordless-landline-phone/p/itmehybk9makgygf?pid=LANEHYBKSDZH3U7F&affid=anoopcomp,1,1
59,LANDX9Z8AC4UMNH4,landline_phones,Panasonic PA-KX-TG6811 Cordless Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/n/h/4/panasonic-pa-kx-tg6811-original-imadxafyg8kjpwtn.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/n/h/4/panasonic-pa-kx-tg6811-original-imadxafyg8kjpwtn.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/n/h/4/panasonic-pa-kx-tg6811-original-imadxafyg8kjpwtn.jpeg?q=90,5250,0,Panasonic,https://www.flipkart.com/panasonic-pa-kx-tg6811-cordless-landline-phone/p/itmdx9z8gz5z85mj?pid=LANDX9Z8AC4UMNH4&affid=anoopcomp,1,1
60,LANE53CGJZXZYDPH,landline_phones,Talktel F-9 Bl Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/d/p/h/talktel-f-9-bl-original-imae53gtkemuymcu.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/d/p/h/talktel-f-9-bl-original-imae53gtkemuymcu.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/d/p/h/talktel-f-9-bl-original-imae53gtkemuymcu.jpeg?q=90,1249,0,Talktel,https://www.flipkart.com/talktel-f-9-bl-corded-landline-phone/p/itme53cgejrepezu?pid=LANE53CGJZXZYDPH&affid=anoopcomp,0,1
61,LANE4WVYXMZFV6HX,landline_phones,Talktel F-1 Rd Corded Landline Phone(Red),https://rukminim1.flixcart.com/image/200/200/landline-phone/6/h/x/talktel-f-1-rd-original-imae4wnc8hun7mba.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/6/h/x/talktel-f-1-rd-original-imae4wnc8hun7mba.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/6/h/x/talktel-f-1-rd-original-imae4wnc8hun7mba.jpeg?q=90,545,0,Talktel,https://www.flipkart.com/talktel-f-1-rd-corded-landline-phone/p/itme4wvfgtdystuz?pid=LANE4WVYXMZFV6HX&affid=anoopcomp,1,1
62,LANE53CGCHHTX8WE,landline_phones,Talktel F-4 Wh Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/8/w/e/talktel-f-4-wh-original-imae53gtdfhstfpa.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/8/w/e/talktel-f-4-wh-original-imae53gtdfhstfpa.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/8/w/e/talktel-f-4-wh-original-imae53gtdfhstfpa.jpeg?q=90,999,0,Talktel,https://www.flipkart.com/talktel-f-4-wh-corded-landline-phone/p/itme53cgfgkcwpbh?pid=LANE53CGCHHTX8WE&affid=anoopcomp,0,1
63,LANE53CGGC3GNHAC,landline_phones,Talktel F-2 Ni Corded Landline Phone(Nickel),https://rukminim1.flixcart.com/image/200/200/landline-phone/h/a/c/talktel-f-2-ni-original-imae4v8nkhe7jcqr.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/h/a/c/talktel-f-2-ni-original-imae4v8nkhe7jcqr.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/h/a/c/talktel-f-2-ni-original-imae4v8nkhe7jcqr.jpeg?q=90,949,0,Talktel,https://www.flipkart.com/talktel-f-2-ni-corded-landline-phone/p/itme53cgmpq65kgv?pid=LANE53CGGC3GNHAC&affid=anoopcomp,1,1
64,LANE4WVY3DEKUWUD,landline_phones,Talktel F-1 Wh Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/w/u/d/talktel-f-1-wh-original-imae4wncphdewqhd.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/w/u/d/talktel-f-1-wh-original-imae4wncphdewqhd.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/w/u/d/talktel-f-1-wh-original-imae4wncphdewqhd.jpeg?q=90,545,0,Talktel,https://www.flipkart.com/talktel-f-1-wh-corded-landline-phone/p/itme4wvfmy66z9fk?pid=LANE4WVY3DEKUWUD&affid=anoopcomp,1,1
65,LANE4WVY2CFYZ3NZ,landline_phones,Talktel F-3 Rd Corded Landline Phone(Red),https://rukminim1.flixcart.com/image/200/200/landline-phone/3/n/z/talktel-f-3-rd-original-imae4v8n4abhdjhd.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/3/n/z/talktel-f-3-rd-original-imae4v8n4abhdjhd.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/3/n/z/talktel-f-3-rd-original-imae4v8n4abhdjhd.jpeg?q=90,1049,0,Talktel,https://www.flipkart.com/talktel-f-3-rd-corded-landline-phone/p/itme4wvfg6drn7y8?pid=LANE4WVY2CFYZ3NZ&affid=anoopcomp,0,1
66,LANE53CGVJ9TYU4R,landline_phones,Talktel F-9 Wh Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/u/4/r/talktel-f-9-wh-original-imae53gthjhyugtz.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/u/4/r/talktel-f-9-wh-original-imae53gthjhyugtz.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/u/4/r/talktel-f-9-wh-original-imae53gthjhyugtz.jpeg?q=90,1249,0,Talktel,https://www.flipkart.com/talktel-f-9-wh-corded-landline-phone/p/itme53cgmqd36xzm?pid=LANE53CGVJ9TYU4R&affid=anoopcomp,0,1
67,LANE53CGXGRRBQQ9,landline_phones,Talktel F-1 Bl Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/q/q/9/talktel-f-1-bl-original-imae4v8n7gszbkmt.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/q/q/9/talktel-f-1-bl-original-imae4v8n7gszbkmt.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/q/q/9/talktel-f-1-bl-original-imae4v8n7gszbkmt.jpeg?q=90,545,0,Talktel,https://www.flipkart.com/talktel-f-1-bl-corded-landline-phone/p/itme4vpsdssem6hv?pid=LANE53CGXGRRBQQ9&affid=anoopcomp,1,1
68,LANE6YVWTSHY43BF,landline_phones,Talktel F-4 Bl Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/3/b/f/talktel-f-4-bl-original-imae5ux2edqeyyzh.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/3/b/f/talktel-f-4-bl-original-imae5ux2edqeyyzh.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/3/b/f/talktel-f-4-bl-original-imae5ux2edqeyyzh.jpeg?q=90,999,0,Talktel,https://www.flipkart.com/talktel-f-4-bl-corded-landline-phone/p/itme6yvwfdabpe3x?pid=LANE6YVWTSHY43BF&affid=anoopcomp,0,1
69,LANEFY3YF9HGMSSG,landline_phones,Talktel F-1 Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/s/s/g/talktel-f-1-original-imaefy2zfgyvfhdz.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/s/s/g/talktel-f-1-original-imaefy2zfgyvfhdz.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/s/s/g/talktel-f-1-original-imaefy2zfgyvfhdz.jpeg?q=90,545,0,Talktel,https://www.flipkart.com/talktel-f-1-corded-landline-phone/p/itmefy3yhh8za7uu?pid=LANEFY3YF9HGMSSG&affid=anoopcomp,0,1
70,LANE4VPSVGZBW9CA,landline_phones,Talktel F-2 BR Corded Landline Phone(Bronze),https://rukminim1.flixcart.com/image/200/200/landline-phone/9/c/a/talktel-f-2-br-original-imae4v8frzhw5uyh.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/9/c/a/talktel-f-2-br-original-imae4v8frzhw5uyh.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/9/c/a/talktel-f-2-br-original-imae4v8frzhw5uyh.jpeg?q=90,949,0,Talktel,https://www.flipkart.com/talktel-f-2-br-corded-landline-phone/p/itme4vpsbmxatu2u?pid=LANE4VPSVGZBW9CA&affid=anoopcomp,1,1
71,LANE4VPSWZ3BKTQG,landline_phones,Talktel F-3 BL Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/t/q/g/talktel-f-3-bl-original-imae4v8fcxcnazwn.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/t/q/g/talktel-f-3-bl-original-imae4v8fcxcnazwn.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/t/q/g/talktel-f-3-bl-original-imae4v8fcxcnazwn.jpeg?q=90,1049,0,Talktel,https://www.flipkart.com/talktel-f-3-bl-corded-landline-phone/p/itme4vpsuzgechra?pid=LANE4VPSWZ3BKTQG&affid=anoopcomp,0,1
72,LANE4VPSYTCCVPGM,landline_phones,Talktel F-3 SL Corded Landline Phone(Silver),https://rukminim1.flixcart.com/image/200/200/landline-phone/p/g/m/talktel-f-3-sl-original-imae4v8fygvxmzef.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/p/g/m/talktel-f-3-sl-original-imae4v8fygvxmzef.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/p/g/m/talktel-f-3-sl-original-imae4v8fygvxmzef.jpeg?q=90,1049,0,Talktel,https://www.flipkart.com/talktel-f-3-sl-corded-landline-phone/p/itme4vpsgw5hpnkj?pid=LANE4VPSYTCCVPGM&affid=anoopcomp,0,1
73,LANE4VPSGUUM5JUP,landline_phones,Talktel F-3 WH Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/j/u/p/talktel-f-3-wh-original-imae4v8f9tby2zxd.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/j/u/p/talktel-f-3-wh-original-imae4v8f9tby2zxd.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/j/u/p/talktel-f-3-wh-original-imae4v8f9tby2zxd.jpeg?q=90,1049,0,Talktel,https://www.flipkart.com/talktel-f-3-wh-corded-landline-phone/p/itme4vpsfypnr6dh?pid=LANE4VPSGUUM5JUP&affid=anoopcomp,0,1
74,LANE4VPSMMB6PT6Y,landline_phones,Talktel F-2 CPP Corded Landline Phone(Copper),https://rukminim1.flixcart.com/image/200/200/landline-phone/t/6/y/talktel-f-2-cpp-original-imae4v8fbgku4y6q.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/t/6/y/talktel-f-2-cpp-original-imae4v8fbgku4y6q.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/t/6/y/talktel-f-2-cpp-original-imae4v8fbgku4y6q.jpeg?q=90,949,0,Talktel,https://www.flipkart.com/talktel-f-2-cpp-corded-landline-phone/p/itme4vpsmwcxhtkz?pid=LANE4VPSMMB6PT6Y&affid=anoopcomp,1,1
75,LANE4VPSRXQSZ4HD,landline_phones,Talktel F-6 WH Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/4/h/d/talktel-f-6-wh-original-imae4w6ydkzqyuqf.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/4/h/d/talktel-f-6-wh-original-imae4w6ydkzqyuqf.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/4/h/d/talktel-f-6-wh-original-imae4w6ydkzqyuqf.jpeg?q=90,1199,0,Talktel,https://www.flipkart.com/talktel-f-6-wh-corded-landline-phone/p/itme4vpseehjh2qe?pid=LANE4VPSRXQSZ4HD&affid=anoopcomp,0,1
76,LANE4VPSUNFMTBGY,landline_phones,Talktel F-1 BL Corded Landline Phone(Blue),https://rukminim1.flixcart.com/image/200/200/landline-phone/b/g/y/talktel-f-1-bl-original-imae4v8fy7urjf9q.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/b/g/y/talktel-f-1-bl-original-imae4v8fy7urjf9q.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/b/g/y/talktel-f-1-bl-original-imae4v8fy7urjf9q.jpeg?q=90,545,0,Talktel,https://www.flipkart.com/talktel-f-1-bl-corded-landline-phone/p/itme4vpsdssem6hv?pid=LANE4VPSUNFMTBGY&affid=anoopcomp,1,1
77,LANE6YVWTADMAUZY,landline_phones,Talktel F-5 Bl Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/u/z/y/talktel-f-5-bl-original-imae5ux27ymghhye.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/u/z/y/talktel-f-5-bl-original-imae5ux27ymghhye.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/u/z/y/talktel-f-5-bl-original-imae5ux27ymghhye.jpeg?q=90,1049,0,Talktel,https://www.flipkart.com/talktel-f-5-bl-corded-landline-phone/p/itme6yvwmhvywzrc?pid=LANE6YVWTADMAUZY&affid=anoopcomp,0,1
78,LANEGNM8YJGZEE3U,landline_phones,Talktel f-44 BK Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/e/3/u/talktel-f-44-bk-original-imaegnhmrmp436xa.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/e/3/u/talktel-f-44-bk-original-imaegnhmrmp436xa.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/e/3/u/talktel-f-44-bk-original-imaegnhmrmp436xa.jpeg?q=90,1295,0,Talktel,https://www.flipkart.com/talktel-f-44-bk-corded-landline-phone/p/itmegnm8kzny4edt?pid=LANEGNM8YJGZEE3U&affid=anoopcomp,0,1
79,LANEEHHGKSNSSSMX,landline_phones,Panasonic Kxtg3551sx Cordless Landline Phone White Cordless Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/s/m/x/panasonic-kxtg3551sx-cordless-landline-phone-white-original-imaeekaqgtepk9tt.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/s/m/x/panasonic-kxtg3551sx-cordless-landline-phone-white-original-imaeekaqgtepk9tt.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/s/m/x/panasonic-kxtg3551sx-cordless-landline-phone-white-original-imaeekaqgtepk9tt.jpeg?q=90,2750,0,Panasonic,https://www.flipkart.com/panasonic-kxtg3551sx-cordless-landline-phone-white/p/itmeehhgjsqhyhyr?pid=LANEEHHGKSNSSSMX&affid=anoopcomp,0,1
80,LANEFGFPUDDYFGRG,landline_phones,iStore Orientel Caller ID Phone Kx-T666 Corded Landline Phone(Silver),https://rukminim1.flixcart.com/image/200/200/landline-phone/h/6/f/shopo-jumbo-lcd-with-backlight-caller-id-kx-t666-telephone-original-imaefgd5gzawazfy.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/h/6/f/shopo-jumbo-lcd-with-backlight-caller-id-kx-t666-telephone-original-imaefgd5gzawazfy.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/h/6/f/shopo-jumbo-lcd-with-backlight-caller-id-kx-t666-telephone-original-imaefgd5gzawazfy.jpeg?q=90,999,0,iStore,https://www.flipkart.com/istore-orientel-caller-id-phone-kx-t666-corded-landline/p/itmefgfpzzmphumf?pid=LANEFGFPUDDYFGRG&affid=anoopcomp,0,1
81,LANE2TFVU7G5RDVY,landline_phones,"Uniden AS7402 Corded Landline Phone(Silver, Grey)",https://rukminim1.flixcart.com/image/200/200/landline-phone/d/v/y/uniden-as7402-original-imae2srsghzcfhhf.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/d/v/y/uniden-as7402-original-imae2srsghzcfhhf.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/d/v/y/uniden-as7402-original-imae2srsghzcfhhf.jpeg?q=90,1500,0,Uniden,https://www.flipkart.com/uniden-as7402-corded-landline-phone/p/itme2tfvgycfmnj5?pid=LANE2TFVU7G5RDVY&affid=anoopcomp,0,1
82,LANEFRJSYX9SBZAX,landline_phones,Motorola Fixed Corded Landline Phone(Black),https://rukminim1.flixcart.com/image/200/200/landline-phone/z/a/x/motorola-motorola-fixed-wireless-phone-fw200l-original-imaefrjncmcjzcz8.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/z/a/x/motorola-motorola-fixed-wireless-phone-fw200l-original-imaefrjncmcjzcz8.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/z/a/x/motorola-motorola-fixed-wireless-phone-fw200l-original-imaefrjncmcjzcz8.jpeg?q=90,2490,0,Motorola,https://www.flipkart.com/motorola-fixed-corded-landline-phone/p/itmefrjsgektemrd?pid=LANEFRJSYX9SBZAX&affid=anoopcomp,1,1
83,LANEF6N2FXP9FAGE,landline_phones,Siddh Present Orientel Jumbo Lcd Cid Back Light Kx-T666 Corded Landline Phone(White),https://rukminim1.flixcart.com/image/200/200/landline-phone/a/g/e/siddh-present-orientel-jumbo-lcd-cid-back-light-kx-t666-original-imaefzfywgabs9ss.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/a/g/e/siddh-present-orientel-jumbo-lcd-cid-back-light-kx-t666-original-imaefzfywgabs9ss.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/a/g/e/siddh-present-orientel-jumbo-lcd-cid-back-light-kx-t666-original-imaefzfywgabs9ss.jpeg?q=90,999,0,Siddh,https://www.flipkart.com/siddh-present-orientel-jumbo-lcd-cid-back-light-kx-t666-corded-landline-phone/p/itmef4rfzjys2e9d?pid=LANEF6N2FXP9FAGE&affid=anoopcomp,1,1
84,LANEDRCDQC3PYVJ8,landline_phones,"Panasonic KX-TG6712CX Cordless Landline Phone(Black, Silver)",https://rukminim1.flixcart.com/image/200/200/landline-phone/v/j/8/panasonic-kx-tg6712cx-original-imaedqawgaxany9c.jpeg?q=90,https://rukminim1.flixcart.com/image/400/400/landline-phone/v/j/8/panasonic-kx-tg6712cx-original-imaedqawgaxany9c.jpeg?q=90,https://rukminim1.flixcart.com/image/800/800/landline-phone/v/j/8/panasonic-kx-tg6712cx-original-imaedqawgaxany9c.jpeg?q=90,8500,0,Panasonic,https://www.flipkart.com/panasonic-kx-tg6712cx-cordless-landline-phone/p/itmedrcddnhpggmc?pid=LANEDRCDQC3PYVJ8&affid=anoopcomp,0,1
